


Fac: 	1	UTC: 	12345	T: 	19.00	P: 	1001.34	H: 	43.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12345	T: 	19.00	P: 	1001.34	H: 	43.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12346	T: 	20.00	P: 	1002.34	H: 	44.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12345	T: 	19.00	P: 	1001.34	H: 	43.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12347	T: 	21.00	P: 	1003.34	H: 	45.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12345	T: 	19.00	P: 	1001.34	H: 	43.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12348	T: 	22.00	P: 	1004.34	H: 	46.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12346	T: 	20.00	P: 	1002.34	H: 	44.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12349	T: 	23.00	P: 	1005.34	H: 	47.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12347	T: 	21.00	P: 	1003.34	H: 	45.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12350	T: 	24.00	P: 	1006.34	H: 	48.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12348	T: 	22.00	P: 	1004.34	H: 	46.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12351	T: 	25.00	P: 	1007.34	H: 	49.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12349	T: 	23.00	P: 	1005.34	H: 	47.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12352	T: 	26.00	P: 	1008.34	H: 	50.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12350	T: 	24.00	P: 	1006.34	H: 	48.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12353	T: 	27.00	P: 	1009.34	H: 	51.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12351	T: 	25.00	P: 	1007.34	H: 	49.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12354	T: 	28.00	P: 	1010.34	H: 	52.50	A: 	0	F: 	0
