Fac: 	1	UTC: 	1606672741	T: 	22.11	P: 	639.43	H: 	45.68	A: 	0	F: 	0
Fac: 	1	UTC: 	1606672742	T: 	23.90	P: 	1001.49	H: 	50.83	A: 	0	F: 	0
Fac: 	1	UTC: 	1606672743	T: 	23.90	P: 	1001.49	H: 	50.80	A: 	0	F: 	0
Fac: 	1	UTC: 	1606672744	T: 	23.90	P: 	1001.50	H: 	50.75	A: 	0	F: 	0
Fac: 	1	UTC: 	1606672745	T: 	23.90	P: 	1001.49	H: 	50.73	A: 	0	F: 	0
Fac: 	1	UTC: 	1606672746	T: 	23.90	P: 	1001.50	H: 	50.68	A: 	0	F: 	0
Fac: 	1	UTC: 	1606672747	T: 	23.90	P: 	1001.49	H: 	50.66	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672748	T: 	0.01	P: 	1100.00	H: 	0.00	A: 	0	F: 	0
Fac: 	1	UTC: 	1606672748	T: 	23.90	P: 	1001.50	H: 	50.64	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672749	T: 	-0.01	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672749	T: 	23.89	P: 	1001.49	H: 	50.69	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672750	T: 	0.19	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672750	T: 	23.89	P: 	1001.49	H: 	50.74	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672751	T: 	30.12	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672751	T: 	23.90	P: 	1001.50	H: 	50.77	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672752	T: 	0.01	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672752	T: 	23.90	P: 	1001.50	H: 	50.78	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672753	T: 	-0.01	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672753	T: 	23.90	P: 	1001.49	H: 	50.79	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672754	T: 	-0.01	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672754	T: 	23.90	P: 	1001.49	H: 	50.82	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672755	T: 	-0.01	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672755	T: 	23.90	P: 	1001.50	H: 	50.82	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672756	T: 	30.15	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672756	T: 	23.90	P: 	1001.51	H: 	50.77	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672757	T: 	0.01	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672757	T: 	23.90	P: 	1001.52	H: 	50.74	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672758	T: 	-0.01	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672758	T: 	23.90	P: 	1001.51	H: 	50.70	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672759	T: 	-0.01	P: 	756.96	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672759	T: 	23.90	P: 	1001.51	H: 	50.67	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672760	T: 	-0.01	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672760	T: 	23.90	P: 	1001.52	H: 	50.73	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672761	T: 	0.01	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672761	T: 	23.90	P: 	1001.52	H: 	50.75	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672762	T: 	-0.14	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672762	T: 	23.90	P: 	1001.51	H: 	50.78	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672763	T: 	29.88	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672763	T: 	23.90	P: 	1001.51	H: 	50.79	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672764	T: 	0.01	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
Fac: 	1	UTC: 	1606672764	T: 	23.90	P: 	1001.50	H: 	50.84	A: 	0	F: 	0
Fac: 	2	UTC: 	1606672765	T: 	-0.01	P: 	1100.00	H: 	0.00	A: 	-1	F: 	0
